0,1,2,3,4,5,6,7,8,9,10,11,12
ACN,12.408918135316071,121346041457.34,0.011851544415691442,6.180954523241362,29.25276335881876,14.57097210476476,2.1428777458011696,1.3488370888184198,9999,1.4653960204049734,180.81,1
ACRX,-0.10602246329337238,426033185.18,9999,-0.9521885388465322,-11.951414594619646,-107.33574420460934,9999,8.738396624472573,8.527033657148465,-20.17800262319655,11.38,1
ACY,29.99945648299321,9999,9999,0.7797924170501161,19.30000814438897,0.5016757556435029,9999,0.16263837835058398,9999,9999,15.05,0
ADBE,15.06225829178705,9999,9999,2.32304035172104,18.23472414872919,2.812327287143755,9999,2.0770028826643574,9999,1.0413664411397694,42.36,0
ADES,3.6115179755584186,9999,9999,4.3462667971878615,0.9571432666516514,1.151870218604346,9999,1.6409261524187087,9999,9999,4.16,0
ADI,14.01279574081939,17512980201.78,0.02930283675806594,2.7650137502366583,20.43027814786274,4.0313154523079335,1.6553172484631449,6.354128189604743,5.873174494912726,1.2984003075721047,56.49,0
ADM,30.764399466262613,22716747673.44,0.030858290547444704,2.190068493150685,18.547365129007037,1.3203573190026154,1.2534637620372038,1.5975859713049418,0.9271995748880285,1.6012205754141238,40.62,0
ADP,10.093693693693695,60168256000.0,0.015682688226828445,3.291069459757442,41.66426800670017,13.584719742948947,2.1504102096627165,1.1019041827301284,9999,9.261893073902177,137.12,1
ADRO,14.696586507250336,725567976.0,9999,-7.5462700406919705,-7.15585311800588,3.6743226036440455,9999,11.581483416035518,9999,9999,54.0,1
ADS,30.013393807311225,9999,9999,8.893103448275863,3.9659945715393565,1.1751420124773853,9999,2.1224660057424565,2.093071130613793,17.90652514775057,35.27,0
ADSK,7.3517930095324555,7269054000.0,9999,-1.411789833404528,-22.65209682299546,4.349959249197333,9999,1.881269641734758,9999,2.7666090392689555,31.98,0
ADVM,4.786700113770714,113367675.75,9999,-2.745588838736151,-0.9651845762965178,0.55361730148423,9999,22.764147130153596,9999,9999,2.65,0
AE,35.87636179472856,145464886.04000002,0.025511311361970528,0.5959512311266301,57.873863159570234,0.9613572356455536,0.8798851288743635,2.236656830169389,2.0848107442433257,9999,34.49,0
AEE,29.859690612061343,4914745000.0,0.08464325209141065,2.694194603434178,8.592549317147192,0.7752926947826086,1.9594912859161564,0.5957367240089754,0.3986537023186238,1.1301587301587301,23.15,0
AEHR,-0.033577930522013744,25933080.0,9999,-0.5499270546279786,-3.58229329403095,-58.66948824343016,9999,1.8692307692307693,0.36645299145299143,-20.345781466113415,1.97,0
AEIS,9.886549303703491,2158687863.15,9999,3.1793554180802235,17.723718361134214,5.69966307444513,9999,4.611809018790901,4.025040506702018,9999,56.35,0
AEO,5.937159765986763,9999,9999,1.1203513006856527,16.084240710009258,3.035121288673129,9999,1.5600670286963911,0.9019047536889506,9999,18.02,1
AEP,35.415065344476304,9999,9999,1.2419839203519474,37.07777471623833,1.3002940853582932,9999,0.6352811118130133,0.5334386186565593,1.3439819518831695,46.05,0
AES,9.815463144960463,8573545527.68,0.03382497929983862,-1.7018072289156627,-7.380389380530973,1.2796135866954643,0.4248417400059731,1.2158423346598446,1.0979723327648285,3.8287565566183277,12.56,1
AFI,24.236929336931258,351573672.45,9999,0.3295609470850854,41.41874248369565,0.5631901554129912,9999,2.4779681762545898,0.8127294981640147,0.6834001603849238,13.65,0
AGCO,35.66601679141287,5422649781.0,0.007837496743550072,1.9814356435643565,35.66101186758276,1.9811575936063723,0.553797519899248,1.4759196232924612,0.7696862324583896,1.683244043423093,70.66,0
AGI,9999,9999,9999,9999,9999,9999,9999,0.7950049455984174,9999,-1.4031063166103457,3.52,0
AGIO,7.355065725602111,4855361304.94,9999,-4.710138220631854,-17.914548585939507,11.472365189923895,9999,6.331256431422659,9999,9999,84.38,1
